,Diện tích,Mức giá,Mặt tiền,Đường vào,Số phòng ngủ,Số toilet,id,legal codes,direction codes,most_similar
0,100.0,0.0,12,20,0,0,21656203,-1,-1,"['31340372', '32002916', '33954251', '34260415', '32362722']"
1,1594.0,30.0,11.7,0,0,0,21687998,-1,-1,"['34209759', '34046383', '34261813', '29071487', '33786376']"
2,500.0,3.0,6,12,0,0,22187942,-1,-1,"['24255475', '34307728', '33161439', '24410610', '23673782']"
3,500.0,2.5,10,12,0,0,22220466,76,-1,"['30745506', '30717332', '30783409', '30769224', '30959359']"
4,650.0,0.0,16,9,0,0,22233680,78,-1,"['33559344', '34305066', '34050933', '34305723', '33626307']"
5,600.0,0.0,16,9,0,0,22263693,-1,-1,"['22493059', '22840717', '24028511', '23884540', '23261034']"
6,600.0,1.0,16,8,0,0,22458783,-1,-1,"['22509845', '22493059', '22840717', '24028511', '23884540']"
7,1000.0,0.0,25,12,0,0,22467588,-1,-1,"['32468421', '32018952', '33869352', '28923611', '34322208']"
8,600.0,0.0,16,8,0,0,22493059,-1,-1,"['22840717', '24028511', '23884540', '23261034', '22752319']"
9,600.0,0.9166666666666666,16,8,0,0,22509845,-1,-1,"['22458783', '22493059', '22840717', '24028511', '23884540']"
10,500.0,0.0,16,8,0,0,22655364,-1,-1,"['23261034', '24028511', '23884540', '22840717', '22493059']"
11,700.0,0.0,16,8,0,0,22752319,-1,-1,"['22840717', '22493059', '24028511', '23884540', '23261034']"
12,600.0,0.0,16,8,0,0,22840717,-1,-1,"['22493059', '24028511', '23884540', '23261034', '22752319']"
13,125.0,0.0,0,10,0,0,23008214,-1,-1,"['34322103', '24869433', '28351584', '24133713', '28541743']"
14,543.0,0.0,18,9,0,0,23008813,-1,-1,"['26494200', '22263693', '23884540', '24028511', '23261034']"
15,500.0,0.0,16,8,0,0,23261034,-1,-1,"['22655364', '24028511', '23884540', '22840717', '22493059']"
16,100.0,0.0,0,16,0,0,23664571,-1,-1,"['24774928', '24761504', '34141115', '28351584', '24869433']"
17,130.0,2.923076923076923,0,9,0,0,23673782,-1,-1,"['24542127', '33161439', '24582233', '22187942', '24255475']"
18,500.0,0.0,12,16,0,0,23772222,80,-1,"['34263578', '34225463', '34009154', '34263112', '34343872']"
19,100.0,5.4,5,8,0,0,23809342,-1,-1,"['34007176', '31163679', '27852990', '24255475', '31713145']"
20,543.0,0.0,16,8,0,0,23884540,-1,-1,"['24028511', '23261034', '22655364', '22840717', '22493059']"
21,543.0,0.0,16,8,0,0,24028511,-1,-1,"['23884540', '23261034', '22655364', '22840717', '22493059']"
22,125.0,0.0,0,8,0,0,24133713,-1,-1,"['28541743', '23008214', '34322103', '34097856', '24869433']"
23,143.0,5.13986013986014,8,16,0,0,24217634,80,-1,"['34311537', '34270931', '34260413', '34283148', '34299272']"
24,156.0,8.461538461538462,8,10,0,0,24251601,26,-1,"['34305253', '34337895', '34332704', '33904589', '24304311']"
25,125.0,4.0,5,12,0,0,24255475,-1,-1,"['22187942', '24582233', '34307728', '31163679', '23809342']"
26,110.0,0.0,20,25,0,0,24274188,-1,-1,"['28923611', '21656203', '31340372', '32002916', '33954251']"
27,100.0,3.0,0,18,0,0,24304311,29,-1,"['34326747', '34329909', '34332704', '34338169', '34265345']"
28,700.0,2.5,10,5,0,0,24322901,80,-1,"['34255674', '34284429', '34310960', '34316572', '32580236']"
29,110.0,0.0,0,0,0,0,24361222,-1,-1,"['34048526', '34043433', '34340272', '33857239', '32430634']"
30,100.0,2.8,10,18,0,0,24410610,-1,-1,"['22187942', '34341987', '34323991', '34307728', '24255475']"
31,100.0,3.0,0,0,0,0,24414253,-1,-1,"['34337992', '34148098', '32580484', '33879171', '34064179']"
32,200.0,4.5,0,0,0,0,24508483,124,-1,"['30954565', '34337778', '30761443', '33197576', '33429308']"
33,125.0,2.76,0,8,0,0,24542127,-1,-1,"['23673782', '33161439', '24582233', '34337992', '34046452']"
34,100.0,3.99,0,12,0,0,24582233,-1,-1,"['33161439', '23673782', '24255475', '27852990', '24542127']"
35,150.0,4.5,25,25,0,0,24719805,83,-1,"['33797763', '34294949', '32129679', '34295028', '34085271']"
36,100.0,0.0,0,16,0,0,24761504,-1,-1,"['24774928', '23664571', '34141115', '28351584', '24869433']"
37,100.0,0.0,0,16,0,0,24774928,-1,-1,"['24761504', '23664571', '34141115', '28351584', '24869433']"
38,125.0,0.0,0,11,0,0,24869433,-1,-1,"['28351584', '23008214', '34322103', '24133713', '28541743']"
39,125.0,0.0,12,8,0,0,24917064,-1,-1,"['31107612', '31817699', '34048440', '34309433', '30769190']"
40,100.0,0.0,6,8,0,0,25373823,-1,-1,"['25373929', '33412454', '34324670', '34332013', '31205239']"
41,100.0,0.0,6,8,0,0,25373929,-1,-1,"['25373823', '33412454', '34324670', '34332013', '31205239']"
42,210.0,0.0,10,12,3,5,25834336,39,-1,"['33441643', '33256423', '33390669', '34048514', '34068705']"
43,125.0,0.0,5,30,0,0,26176175,-1,-1,"['34339261', '31628660', '31912287', '34323991', '32002916']"
44,500.0,3.3,20,12,0,0,26208367,-1,-1,"['29848434', '30748541', '29841393', '30147637', '34329715']"
45,650.0,0.0,18,10,0,0,26494200,-1,-1,"['23008813', '32018952', '22263693', '22840717', '22493059']"
46,127.5,1.2549019607843137,5,6,0,0,26656934,83,-1,"['33489580', '33511409', '30966538', '33267806', '34075256']"
47,175.0,1.2571428571428573,7.8,10,0,0,26666593,80,-1,"['34292825', '34333866', '34323842', '34339123', '33593861']"
48,1000.0,0.6,0,0,0,0,26773983,-1,-1,"['26828919', '34305036', '34086906', '34333602', '34149786']"
