,id,region,area_by_m2,width_of_facade,width_of_road,is_legal,price,most_similar
0,0,Đà Lạt,57,15,13,0,7.67,"[990, 398, 3294, 2661, 1778]"
1,1,Đạ Tẻh,149,7,11,1,11.51,"[4097, 2361, 3155, 3365, 146]"
2,2,Đam Rông,77,12,15,0,7.98,"[172, 2660, 4320, 4001, 2216]"
3,3,Cát Tiên,56,10,8,1,14.96,"[1734, 658, 3464, 509, 1162]"
4,4,Đạ Huoai,197,6,7,1,4.2,"[1045, 1323, 541, 3164, 1479]"
5,5,Đạ Huoai,111,7,5,1,6.23,"[3275, 998, 1855, 673, 3163]"
6,6,Đạ Huoai,132,15,12,1,10.24,"[141, 4442, 1059, 95, 4975]"
7,7,Bảo Lộc,115,15,10,0,1.65,"[4964, 4998, 971, 4378, 2295]"
8,8,Lạc Dương,95,8,13,0,8.16,"[2443, 2257, 2801, 2176, 4597]"
9,9,Cát Tiên,116,13,13,0,13.65,"[2354, 4443, 3338, 4178, 3063]"
10,10,Di Linh,64,12,9,1,8.46,"[3888, 460, 1374, 4539, 2223]"
11,11,Bảo Lộc,159,11,14,0,2.83,"[1078, 3488, 836, 1135, 2934]"
12,12,Đạ Huoai,238,15,11,0,2.37,"[1324, 747, 4805, 4287, 913]"
13,13,Đam Rông,55,8,9,0,5.39,"[4658, 4002, 2869, 4768, 3561]"
14,14,Di Linh,167,5,12,0,5.63,"[4300, 2551, 4853, 173, 59]"
15,15,Đạ Tẻh,120,6,14,0,2.47,"[1834, 3783, 3777, 1486, 2712]"
16,16,Bảo Lâm,202,10,15,0,8.1,"[4881, 3604, 3067, 2963, 1538]"
17,17,Đà Lạt,109,10,5,1,12.24,"[190, 292, 3867, 1187, 3901]"
18,18,Di Linh,159,9,10,0,14.64,"[1040, 2237, 612, 79, 4790]"
19,19,Đam Rông,56,9,12,1,1.92,"[4952, 3216, 3683, 4913, 3980]"
20,20,Lạc Dương,190,14,6,0,4.54,"[4275, 2422, 2255, 3415, 3679]"
21,21,Lâm Hà,247,8,7,0,12.57,"[3732, 4283, 4940, 723, 1427]"
22,22,Đà Lạt,139,9,6,0,7.9,"[1527, 4195, 295, 1770, 2493]"
23,23,Đà Lạt,106,12,11,0,11.29,"[4886, 3789, 3190, 1778, 2317]"
24,24,Bảo Lộc,248,13,8,0,14.5,"[4204, 1035, 2001, 4835, 1960]"
25,25,Đam Rông,126,12,10,1,1.53,"[2514, 4696, 1861, 3821, 3597]"
26,26,Bảo Lộc,155,9,14,1,12.93,"[3386, 1500, 831, 167, 1470]"
27,27,Đạ Huoai,164,5,14,1,8.45,"[1267, 3535, 4099, 4954, 2698]"
28,28,Đạ Tẻh,81,5,15,0,8.11,"[4762, 3375, 448, 2812, 1115]"
29,29,Lâm Hà,63,7,8,1,8.76,"[1028, 818, 2639, 2141, 2991]"
30,30,Lạc Dương,55,15,12,1,4.09,"[895, 4126, 3323, 4113, 3764]"
31,31,Bảo Lâm,106,13,12,0,9.45,"[2205, 1707, 2386, 4182, 3363]"
32,32,Bảo Lâm,96,11,6,1,1.47,"[2238, 1621, 3181, 912, 3910]"
33,33,Đơn Dương,166,6,12,1,12.24,"[3801, 3929, 1700, 2843, 1282]"
34,34,Lạc Dương,108,14,7,0,12.42,"[4651, 587, 2009, 2984, 650]"
35,35,Đơn Dương,140,14,14,0,3.29,"[4394, 4010, 1260, 2707, 3560]"
36,36,Lâm Hà,181,8,15,1,14.99,"[3545, 2994, 868, 2374, 537]"
37,37,Đức Trọng,62,14,7,1,3.85,"[4968, 680, 4677, 1336, 4188]"
38,38,Cát Tiên,54,12,6,1,2.42,"[898, 4127, 2932, 2485, 957]"
39,39,Đơn Dương,248,14,12,1,2.78,"[2944, 1420, 1288, 756, 3035]"
40,40,Bảo Lộc,247,13,11,1,9.91,"[1717, 940, 3820, 2510, 4048]"
41,41,Đạ Tẻh,105,7,11,0,8.85,"[991, 951, 2164, 3863, 4353]"
42,42,Bảo Lộc,52,10,13,0,2.56,"[1736, 1380, 4457, 2872, 4375]"
43,43,Bảo Lâm,64,13,12,0,3.23,"[3693, 3191, 3451, 4296, 4624]"
44,44,Lâm Hà,123,14,13,1,9.52,"[4316, 2089, 3811, 3655, 4749]"
45,45,Đức Trọng,141,10,11,0,11.45,"[2566, 4161, 3159, 1559, 375]"
46,46,Đức Trọng,244,13,9,0,10.34,"[2403, 3465, 4144, 1099, 1613]"
47,47,Đạ Tẻh,86,10,12,1,5.86,"[3585, 1360, 1177, 905, 3525]"
48,48,Bảo Lộc,90,10,6,1,10.68,"[4697, 1795, 959, 3923, 3959]"
49,49,Bảo Lâm,207,5,12,0,14.04,"[400, 3477, 2703, 4484, 2887]"
50,50,Đam Rông,123,6,15,1,4.73,"[4901, 3980, 4547, 135, 1389]"
51,51,Đà Lạt,120,10,11,1,3.73,"[2098, 4592, 359, 2018, 2283]"
52,52,Bảo Lộc,59,6,10,1,5.52,"[1978, 2300, 4116, 1292, 115]"
53,53,Bảo Lâm,204,12,15,1,9.38,"[4878, 2822, 1590, 629, 3276]"
54,54,Đơn Dương,58,10,7,1,5.22,"[1727, 2979, 1660, 1119, 4945]"
55,55,Cát Tiên,190,9,10,0,3.78,"[2682, 814, 955, 2192, 4906]"
56,56,Đạ Tẻh,245,12,7,0,1.52,"[3240, 4861, 3264, 4086, 2324]"
57,57,Đạ Huoai,223,6,14,1,4.32,"[1199, 1017, 1259, 4364, 2698]"
58,58,Di Linh,236,13,5,0,11.36,"[1944, 3849, 1333, 855, 3086]"
59,59,Di Linh,160,7,11,0,8.49,"[4383, 4714, 2952, 14, 4853]"
60,60,Đạ Huoai,238,11,5,1,10.34,"[4168, 1930, 3913, 4748, 200]"
61,61,Đạ Tẻh,214,6,8,1,14.26,"[4000, 3177, 2240, 1395, 2369]"
62,62,Đơn Dương,162,14,10,0,8.79,"[140, 3284, 436, 2896, 3004]"
63,63,Bảo Lộc,211,15,5,0,8.15,"[1960, 663, 1171, 4835, 638]"
64,64,Đơn Dương,136,10,9,1,4.21,"[2227, 4488, 3427, 459, 4530]"
65,65,Lâm Hà,137,15,8,1,1.13,"[343, 3211, 207, 1471, 3710]"
66,66,Lâm Hà,52,14,14,1,9.84,"[451, 903, 4422, 915, 2089]"
67,67,Đạ Huoai,110,10,6,1,1.42,"[4916, 3830, 648, 4235, 4016]"
68,68,Bảo Lộc,181,15,13,1,12.55,"[3582, 2816, 4356, 316, 1876]"
69,69,Lâm Hà,66,14,6,1,3.49,"[967, 4265, 343, 3211, 1601]"
70,70,Đạ Tẻh,217,13,10,1,8.83,"[1100, 876, 4511, 412, 4788]"
71,71,Lâm Hà,83,8,13,1,8.2,"[1711, 848, 808, 749, 1364]"
72,72,Bảo Lộc,177,13,8,1,3.52,"[3512, 4090, 1669, 4819, 1956]"
73,73,Bảo Lâm,62,8,8,1,11.56,"[4157, 4223, 4480, 1914, 2200]"
74,74,Đơn Dương,154,13,9,0,11.78,"[3004, 1044, 4837, 62, 4865]"
75,75,Đạ Huoai,127,8,15,0,10.37,"[181, 2036, 1128, 3050, 4579]"
76,76,Đam Rông,54,15,12,1,14.69,"[1355, 3632, 1832, 1905, 599]"
77,77,Đức Trọng,161,9,6,1,9.6,"[2111, 813, 3244, 252, 4840]"
78,78,Lạc Dương,188,15,9,0,13.38,"[309, 128, 4572, 4237, 1545]"
79,79,Di Linh,121,10,11,0,14.79,"[2237, 203, 3797, 18, 4664]"
80,80,Đức Trọng,232,6,14,0,12.51,"[188, 3078, 3024, 251, 750]"
81,81,Di Linh,248,12,15,0,7.11,"[1381, 1534, 1863, 405, 2905]"
82,82,Bảo Lâm,103,7,10,0,11.53,"[1449, 1276, 2030, 2054, 2299]"
83,83,Bảo Lộc,104,13,15,0,1.71,"[2942, 415, 1078, 1279, 4174]"
84,84,Đạ Tẻh,86,15,14,0,10.8,"[3935, 357, 3751, 2382, 3645]"
85,85,Đơn Dương,96,6,14,1,10.95,"[3485, 380, 559, 3712, 4345]"
86,86,Đơn Dương,150,8,9,0,8.53,"[1030, 4229, 3234, 3686, 3272]"
87,87,Đạ Huoai,112,7,15,1,5.41,"[3169, 4389, 3384, 4869, 27]"
88,88,Di Linh,81,8,6,0,1.84,"[2781, 4279, 1081, 2669, 923]"
89,89,Lạc Dương,133,13,5,0,1.88,"[3679, 454, 1573, 20, 972]"
90,90,Lâm Hà,144,15,9,1,12.99,"[3644, 3207, 2135, 1116, 4749]"
91,91,Bảo Lâm,250,9,10,1,13.34,"[4760, 4970, 2177, 1211, 3421]"
92,92,Di Linh,164,12,10,0,11.12,"[655, 203, 612, 3906, 2237]"
93,93,Bảo Lộc,136,11,9,1,2.77,"[767, 4090, 1956, 515, 1669]"
94,94,Lâm Hà,129,10,13,0,3.0,"[3203, 2995, 4429, 3938, 2055]"
95,95,Đạ Huoai,162,15,11,1,13.57,"[1610, 4975, 4189, 4419, 141]"
96,96,Đơn Dương,139,12,13,0,12.65,"[621, 3656, 3707, 4903, 4929]"
97,97,Lâm Hà,221,6,9,1,13.32,"[2415, 908, 700, 150, 4636]"
98,98,Đạ Tẻh,145,14,11,0,13.47,"[3075, 2382, 2807, 149, 3935]"
99,99,Đức Trọng,249,13,13,1,8.7,"[2936, 1785, 4264, 639, 1526]"
100,100,Bảo Lâm,155,5,14,0,2.78,"[4236, 1911, 2615, 3523, 626]"
101,101,Lâm Hà,80,5,8,0,9.11,"[938, 901, 4689, 4505, 2097]"
102,102,Lạc Dương,158,11,13,0,7.85,"[2803, 464, 1766, 2132, 539]"
103,103,Đam Rông,223,13,13,1,5.95,"[4812, 429, 530, 3605, 4055]"
104,104,Bảo Lộc,91,6,5,0,13.19,"[4108, 4376, 4671, 3066, 2495]"
105,105,Bảo Lâm,209,15,6,0,14.85,"[4038, 4249, 2583, 2699, 1626]"
106,106,Cát Tiên,219,6,12,1,7.72,"[4176, 932, 3771, 4052, 1941]"
