id,region,area_by_m2,width_of_facade,width_of_road,is_legal,price
00000,Đà Lạt,57,15,13,0,7.67
00001,Đạ Tẻh,149,7,11,1,11.51
00002,Đam Rông,77,12,15,0,7.98
00003,Cát Tiên,56,10,8,1,14.96
00004,Đạ Huoai,197,6,7,1,4.2
00005,Đạ Huoai,111,7,5,1,6.23
00006,Đạ Huoai,132,15,12,1,10.24
00007,Bảo Lộc,115,15,10,0,1.65
00008,Lạc Dương,95,8,13,0,8.16
00009,Cát Tiên,116,13,13,0,13.65
00010,Di Linh,64,12,9,1,8.46
00011,Bảo Lộc,159,11,14,0,2.83
00012,Đạ Huoai,238,15,11,0,2.37
00013,Đam Rông,55,8,9,0,5.39
00014,Di Linh,167,5,12,0,5.63
00015,Đạ Tẻh,120,6,14,0,2.47
00016,Bảo Lâm,202,10,15,0,8.1
00017,Đà Lạt,109,10,5,1,12.24
00018,Di Linh,159,9,10,0,14.64
00019,Đam Rông,56,9,12,1,1.92
00020,Lạc Dương,190,14,6,0,4.54
00021,Lâm Hà,247,8,7,0,12.57
00022,Đà Lạt,139,9,6,0,7.9
00023,Đà Lạt,106,12,11,0,11.29
00024,Bảo Lộc,248,13,8,0,14.5
00025,Đam Rông,126,12,10,1,1.53
00026,Bảo Lộc,155,9,14,1,12.93
00027,Đạ Huoai,164,5,14,1,8.45
00028,Đạ Tẻh,81,5,15,0,8.11
00029,Lâm Hà,63,7,8,1,8.76
00030,Lạc Dương,55,15,12,1,4.09
00031,Bảo Lâm,106,13,12,0,9.45
00032,Bảo Lâm,96,11,6,1,1.47
00033,Đơn Dương,166,6,12,1,12.24
00034,Lạc Dương,108,14,7,0,12.42
00035,Đơn Dương,140,14,14,0,3.29
00036,Lâm Hà,181,8,15,1,14.99
00037,Đức Trọng,62,14,7,1,3.85
00038,Cát Tiên,54,12,6,1,2.42
00039,Đơn Dương,248,14,12,1,2.78
00040,Bảo Lộc,247,13,11,1,9.91
00041,Đạ Tẻh,105,7,11,0,8.85
00042,Bảo Lộc,52,10,13,0,2.56
00043,Bảo Lâm,64,13,12,0,3.23
00044,Lâm Hà,123,14,13,1,9.52
00045,Đức Trọng,141,10,11,0,11.45
00046,Đức Trọng,244,13,9,0,10.34
00047,Đạ Tẻh,86,10,12,1,5.86
00048,Bảo Lộc,90,10,6,1,10.68
00049,Bảo Lâm,207,5,12,0,14.04
00050,Đam Rông,123,6,15,1,4.73
00051,Đà Lạt,120,10,11,1,3.73
00052,Bảo Lộc,59,6,10,1,5.52
00053,Bảo Lâm,204,12,15,1,9.38
00054,Đơn Dương,58,10,7,1,5.22
00055,Cát Tiên,190,9,10,0,3.78
00056,Đạ Tẻh,245,12,7,0,1.52
00057,Đạ Huoai,223,6,14,1,4.32
00058,Di Linh,236,13,5,0,11.36
00059,Di Linh,160,7,11,0,8.49
00060,Đạ Huoai,238,11,5,1,10.34
00061,Đạ Tẻh,214,6,8,1,14.26
00062,Đơn Dương,162,14,10,0,8.79
00063,Bảo Lộc,211,15,5,0,8.15
00064,Đơn Dương,136,10,9,1,4.21
00065,Lâm Hà,137,15,8,1,1.13
00066,Lâm Hà,52,14,14,1,9.84
00067,Đạ Huoai,110,10,6,1,1.42
00068,Bảo Lộc,181,15,13,1,12.55
00069,Lâm Hà,66,14,6,1,3.49
00070,Đạ Tẻh,217,13,10,1,8.83
00071,Lâm Hà,83,8,13,1,8.2
00072,Bảo Lộc,177,13,8,1,3.52
00073,Bảo Lâm,62,8,8,1,11.56
00074,Đơn Dương,154,13,9,0,11.78
00075,Đạ Huoai,127,8,15,0,10.37
00076,Đam Rông,54,15,12,1,14.69
00077,Đức Trọng,161,9,6,1,9.6
00078,Lạc Dương,188,15,9,0,13.38
00079,Di Linh,121,10,11,0,14.79
00080,Đức Trọng,232,6,14,0,12.51
00081,Di Linh,248,12,15,0,7.11
00082,Bảo Lâm,103,7,10,0,11.53
00083,Bảo Lộc,104,13,15,0,1.71
00084,Đạ Tẻh,86,15,14,0,10.8
00085,Đơn Dương,96,6,14,1,10.95
00086,Đơn Dương,150,8,9,0,8.53
00087,Đạ Huoai,112,7,15,1,5.41
00088,Di Linh,81,8,6,0,1.84
00089,Lạc Dương,133,13,5,0,1.88
00090,Lâm Hà,144,15,9,1,12.99
00091,Bảo Lâm,250,9,10,1,13.34
00092,Di Linh,164,12,10,0,11.12
00093,Bảo Lộc,136,11,9,1,2.77
00094,Lâm Hà,129,10,13,0,3.0
00095,Đạ Huoai,162,15,11,1,13.57
00096,Đơn Dương,139,12,13,0,12.65
00097,Lâm Hà,221,6,9,1,13.32
00098,Đạ Tẻh,145,14,11,0,13.47
00099,Đức Trọng,249,13,13,1,8.7
00100,Bảo Lâm,155,5,14,0,2.78
00101,Lâm Hà,80,5,8,0,9.11
00102,Lạc Dương,158,11,13,0,7.85
00103,Đam Rông,223,13,13,1,5.95
00104,Bảo Lộc,91,6,5,0,13.19
00105,Bảo Lâm,209,15,6,0,14.85
00106,Cát Tiên,219,6,12,1,7.72
00107,Đạ Huoai,223,5,5,0,5.22
00108,Đam Rông,84,14,6,1,13.89
00109,Đạ Tẻh,128,11,11,0,7.01
00110,Lâm Hà,147,6,15,1,1.34
00111,Đam Rông,213,6,8,1,7.68
00112,Đạ Tẻh,159,6,9,1,0.84
00113,Đơn Dương,177,6,7,1,8.5
00114,Đà Lạt,171,8,14,1,14.96
00115,Bảo Lộc,67,7,10,1,0.98
00116,Đam Rông,108,11,5,1,7.65
00117,Bảo Lộc,189,6,11,0,6.12
00118,Đà Lạt,243,15,6,0,12.02
00119,Bảo Lộc,230,5,7,1,7.64
00120,Lạc Dương,119,10,8,0,0.8
00121,Bảo Lâm,177,5,6,0,14.94
00122,Đạ Huoai,65,14,5,0,5.16
00123,Di Linh,113,7,11,1,9.87
00124,Cát Tiên,210,15,12,0,13.71
00125,Lâm Hà,84,12,7,1,7.87
00126,Bảo Lâm,97,8,10,0,5.34
00127,Di Linh,215,6,8,1,12.21
00128,Lạc Dương,208,15,11,0,14.92
00129,Đơn Dương,130,9,8,1,14.59
00130,Cát Tiên,120,8,11,1,8.58
00131,Đam Rông,88,5,6,0,12.56
00132,Đam Rông,218,8,6,0,10.31
00133,Di Linh,221,7,9,0,5.5
00134,Đam Rông,55,6,5,0,12.61
00135,Đam Rông,141,8,15,1,8.25
00136,Đạ Tẻh,199,5,8,1,1.55
00137,Đam Rông,213,6,13,0,13.7
00138,Đức Trọng,169,5,10,1,8.74
00139,Bảo Lâm,179,5,11,0,7.26
00140,Đơn Dương,149,15,11,0,9.05
00141,Đạ Huoai,140,15,13,1,12.08
00142,Đạ Tẻh,249,5,7,1,9.83
00143,Đà Lạt,65,8,12,1,1.2
00144,Đam Rông,191,10,14,1,8.23
00145,Đam Rông,221,8,8,0,11.5
00146,Đạ Tẻh,162,6,14,1,12.08
00147,Đà Lạt,76,7,13,0,8.62
00148,Lâm Hà,195,9,14,0,6.23
00149,Đạ Tẻh,96,13,11,0,13.34
00150,Lâm Hà,221,6,11,1,14.82
00151,Lâm Hà,223,8,14,0,11.43
00152,Lạc Dương,88,5,15,1,1.91
00153,Lâm Hà,215,9,13,1,5.43
00154,Cát Tiên,95,6,8,1,7.84
00155,Đơn Dương,123,11,8,0,13.91
00156,Bảo Lộc,229,11,13,0,10.92
00157,Bảo Lâm,59,14,9,0,10.58
00158,Bảo Lâm,236,7,5,1,14.53
00159,Đam Rông,67,12,10,0,13.62
00160,Bảo Lâm,199,15,12,1,2.45
00161,Đà Lạt,116,13,7,1,11.39
00162,Cát Tiên,117,13,5,0,14.95
00163,Lạc Dương,110,11,8,1,10.1
00164,Bảo Lộc,169,7,11,0,13.78
00165,Cát Tiên,113,11,5,0,2.93
00166,Bảo Lâm,66,15,9,0,1.15
00167,Bảo Lộc,100,8,15,1,14.97
00168,Đà Lạt,113,6,7,0,12.78
00169,Đức Trọng,188,9,5,0,8.17
00170,Đạ Huoai,154,8,13,0,3.4
00171,Bảo Lâm,121,12,6,0,2.41
00172,Đam Rông,96,13,15,0,8.52
00173,Di Linh,155,6,13,0,2.15
00174,Lạc Dương,149,8,5,0,5.1
00175,Đạ Tẻh,68,11,10,0,4.33
00176,Bảo Lâm,229,9,8,0,1.38
00177,Cát Tiên,116,6,13,0,0.87
00178,Đà Lạt,148,12,6,1,4.61
00179,Đạ Tẻh,143,14,14,0,1.83
00180,Đà Lạt,115,5,5,0,13.13
00181,Đạ Huoai,120,7,13,0,10.48
00182,Đam Rông,224,8,11,0,12.57
00183,Đà Lạt,231,7,11,0,5.07
00184,Đà Lạt,228,14,9,1,13.61
00185,Đạ Tẻh,57,5,9,0,3.94
00186,Đạ Huoai,212,8,14,0,3.52
00187,Đạ Tẻh,183,15,6,0,0.88
00188,Đức Trọng,240,7,13,0,9.63
00189,Lâm Hà,182,8,10,1,2.75
00190,Đà Lạt,86,11,5,1,12.69
00191,Di Linh,208,13,11,0,4.51
00192,Đam Rông,122,14,9,0,14.08
00193,Lạc Dương,83,8,9,1,3.18
00194,Lâm Hà,51,6,15,1,6.67
00195,Cát Tiên,113,9,12,1,13.5
00196,Đà Lạt,107,12,7,0,7.86
00197,Đơn Dương,194,15,6,0,14.89
00198,Di Linh,194,15,6,0,2.19
00199,Đức Trọng,105,8,11,0,4.87
00200,Đạ Huoai,200,8,5,1,13.16
00201,Đạ Huoai,132,13,12,0,6.57
00202,Đạ Tẻh,80,15,7,1,9.77
00203,Di Linh,134,11,11,0,12.15
00204,Lạc Dương,236,6,8,1,13.45
00205,Đạ Tẻh,222,7,11,1,12.57
00206,Đam Rông,98,8,5,0,1.54
00207,Lâm Hà,170,13,8,1,3.87
00208,Lạc Dương,124,6,13,1,4.67
00209,Cát Tiên,220,9,14,1,1.32
00210,Cát Tiên,206,13,8,1,6.15
00211,Bảo Lộc,82,9,9,0,8.78
00212,Lạc Dương,91,7,14,1,4.19
00213,Bảo Lộc,128,15,12,0,5.57
00214,Lạc Dương,57,6,10,1,8.5
00215,Đơn Dương,153,9,9,0,4.21
00216,Đạ Huoai,77,13,6,1,12.79
00217,Đạ Tẻh,118,9,10,0,14.18
00218,Cát Tiên,212,6,9,0,10.76
00219,Đà Lạt,138,10,7,1,6.06
00220,Bảo Lộc,199,10,8,0,10.53
00221,Bảo Lộc,86,7,11,0,14.15
00222,Đức Trọng,230,9,14,0,1.02
00223,Đạ Tẻh,191,8,7,0,1.23
00224,Di Linh,94,7,8,1,14.47
00225,Di Linh,214,13,11,0,6.95
00226,Đà Lạt,207,8,6,1,11.99
00227,Đam Rông,131,13,14,1,5.05
00228,Lâm Hà,58,9,8,0,5.92
00229,Đà Lạt,79,5,11,0,1.9
00230,Đà Lạt,65,8,7,0,2.96
00231,Bảo Lâm,211,11,10,0,12.52
00232,Lâm Hà,173,9,11,1,2.06
00233,Bảo Lâm,233,13,15,0,11.24
00234,Lâm Hà,173,12,6,0,8.92
00235,Đạ Huoai,62,13,12,0,6.93
00236,Đà Lạt,213,10,9,0,11.38
00237,Đà Lạt,156,14,5,0,13.32
00238,Cát Tiên,61,15,14,1,7.9
00239,Di Linh,74,13,15,1,14.03
00240,Đam Rông,70,12,12,0,11.62
00241,Đơn Dương,122,13,10,0,5.4
00242,Bảo Lộc,93,11,14,1,13.04
00243,Đam Rông,217,6,14,1,12.41
00244,Đạ Tẻh,104,8,10,1,5.13
00245,Đạ Tẻh,209,7,6,1,7.27
00246,Lạc Dương,71,15,15,0,13.37
00247,Cát Tiên,157,6,14,0,5.31
00248,Cát Tiên,86,11,15,1,6.44
00249,Di Linh,206,9,14,0,3.4
00250,Cát Tiên,197,6,10,1,3.94
00251,Đức Trọng,195,8,13,0,13.13
00252,Đức Trọng,160,10,7,1,10.83
00253,Lâm Hà,162,11,6,1,7.96
00254,Di Linh,232,6,8,0,3.05
00255,Đạ Huoai,195,9,15,0,5.23
00256,Bảo Lâm,239,15,11,1,13.29
00257,Bảo Lâm,73,15,10,0,12.89
00258,Đạ Tẻh,139,9,10,0,12.57
00259,Đam Rông,62,11,12,0,8.7
00260,Đà Lạt,114,12,11,1,11.79
00261,Di Linh,122,13,7,0,4.07
00262,Đà Lạt,211,14,14,1,13.1
00263,Đạ Tẻh,81,12,8,0,14.72
00264,Đạ Huoai,237,10,7,0,13.71
00265,Bảo Lộc,92,6,10,0,14.88
00266,Bảo Lâm,176,9,15,1,5.0
00267,Cát Tiên,182,11,13,1,8.65
00268,Di Linh,156,5,10,0,14.87
00269,Di Linh,135,15,6,0,14.06
00270,Lạc Dương,70,6,11,0,11.05
00271,Bảo Lâm,159,8,11,1,12.73
00272,Đam Rông,181,11,7,0,12.69
00273,Đức Trọng,245,13,8,1,2.58
00274,Đam Rông,83,10,7,1,13.81
00275,Lạc Dương,94,5,9,1,8.91
00276,Đạ Huoai,231,11,10,1,11.61
00277,Đạ Tẻh,206,7,11,1,6.46
00278,Đạ Tẻh,120,12,9,0,1.01
00279,Đức Trọng,234,8,5,1,8.11
00280,Đạ Huoai,196,8,5,0,12.27
00281,Đạ Tẻh,55,9,11,0,11.25
00282,Lâm Hà,175,13,6,0,13.92
00283,Di Linh,127,6,13,1,3.05
00284,Bảo Lộc,207,12,12,0,8.8
00285,Đạ Tẻh,74,6,7,1,12.16
00286,Bảo Lâm,81,10,15,1,5.85
00287,Đà Lạt,186,8,5,0,13.35
00288,Đam Rông,232,13,10,0,7.53
00289,Đam Rông,81,11,12,0,3.1
00290,Đà Lạt,161,6,10,1,3.41
00291,Đạ Huoai,96,13,9,0,12.52
00292,Đà Lạt,79,9,5,1,13.07
00293,Đà Lạt,118,13,6,0,7.2
00294,Bảo Lộc,117,10,14,0,11.0
00295,Đà Lạt,109,7,7,0,9.32
00296,Lâm Hà,118,10,9,0,5.01
00297,Đức Trọng,115,13,5,1,1.46
00298,Lạc Dương,186,6,15,0,9.81
00299,Di Linh,116,14,14,1,13.11
00300,Đạ Huoai,144,14,14,0,2.42
00301,Đà Lạt,195,12,12,0,3.55
00302,Lạc Dương,153,12,11,1,5.96
00303,Đam Rông,137,7,9,1,5.32
00304,Bảo Lâm,104,6,5,1,4.8
00305,Cát Tiên,117,11,8,0,4.64
00306,Đam Rông,163,5,12,0,11.56
00307,Bảo Lộc,201,8,5,1,6.42
00308,Bảo Lộc,237,6,13,0,3.06
00309,Lạc Dương,171,14,8,0,11.04
00310,Cát Tiên,51,9,8,0,9.99
00311,Bảo Lâm,223,11,7,1,8.18
00312,Bảo Lâm,114,14,9,1,12.21
00313,Bảo Lộc,71,11,9,1,13.76
00314,Bảo Lâm,122,8,10,0,8.42
00315,Đức Trọng,177,6,11,0,12.76
00316,Bảo Lộc,199,13,15,1,10.08
00317,Bảo Lâm,165,12,12,0,2.64
00318,Bảo Lộc,155,6,14,1,1.16
00319,Bảo Lâm,140,13,6,1,9.9
00320,Đạ Huoai,82,9,12,1,7.54
00321,Bảo Lộc,225,6,6,0,4.25
00322,Lạc Dương,145,8,10,0,8.23
00323,Cát Tiên,88,9,12,0,5.12
00324,Đạ Huoai,213,11,13,1,6.82
00325,Đạ Huoai,138,11,9,1,10.44
00326,Bảo Lộc,226,6,8,0,13.56
00327,Đạ Huoai,208,6,14,1,14.13
00328,Lạc Dương,237,5,12,1,10.11
00329,Đạ Tẻh,134,15,7,0,10.63
00330,Đà Lạt,148,5,5,1,13.8
00331,Đà Lạt,229,9,6,0,5.16
00332,Di Linh,60,9,12,1,6.93
00333,Đam Rông,185,14,14,0,3.42
00334,Đơn Dương,157,14,14,0,9.23
00335,Đức Trọng,113,5,9,0,13.09
00336,Đạ Tẻh,164,8,13,0,13.13
00337,Di Linh,81,7,14,1,7.88
00338,Đức Trọng,82,8,13,0,1.15
00339,Lạc Dương,249,15,13,1,11.61
00340,Đam Rông,181,9,6,1,11.63
00341,Đạ Huoai,227,15,6,1,13.88
00342,Lâm Hà,227,12,6,0,6.63
00343,Lâm Hà,107,14,7,1,1.57
00344,Đam Rông,72,12,5,0,12.54
00345,Lạc Dương,95,6,5,0,3.83
00346,Bảo Lộc,145,10,10,1,12.57
00347,Đơn Dương,216,10,13,1,6.31
00348,Di Linh,164,6,15,1,13.02
00349,Đà Lạt,136,13,12,1,9.54
